Level;Density
1264;0.361
1289;0.367
1313;0.361
1332;0.373
1339;0.37
1362;0.368
1542;0.379
1557;0.376
1558;0.379
1576;0.379
1589;0.38
1591;0.376
1591;0.381
1687;0.384
1730;0.387
1798;0.391
1805;0.389
1817;0.386
1820;0.385
1825;0.389
1829;0.389
1833;0.386
1840;0.389
1843;0.392
1847;0.387
1850;0.385
1850;0.386
1853;0.391
1857;0.383
1858;0.388
1863;0.39
1863;0.388
1874;0.392
1882;0.391
1885;0.38
2069;0.394
2102;0.398
2137;0.401
2146;0.393
2160;0.3950
2175;0.402
2234;0.404
2276;0.402
2602;0.409
2746;0.411
2770;0.409
2779;0.413
2943;0.4080
2975;0.414
3048;0.415
3095;0.415
3138;0.415
3138;0.417
3151;0.412
3161;0.415
3169;0.412
3377;0.419
3380;0.4140
3395;0.419
3471;0.4190
3644;0.423
3905;0.423
3948;0.423
4006;0.425
4214;0.426
4214;0.431
4231;0.43
4231;0.428
4240;0.426
4246;0.426
4248;0.428
4259;0.429
4262;0.426
4583;0.429
4649;0.428
4856;0.4280
4861;0.433
5032;0.437
5097;0.435
5217;0.4340
5247;0.432
5406;0.434
5518;0.434
5545;0.4360
5633;0.438
5637;0.435
5638;0.439
5643;0.437
5644;0.437
5645;0.438
5646;0.436
5647;0.435
5650;0.435
5730;0.436
5732;0.441
5739;0.439
5744;0.435
5749;0.439
5749;0.442
5752;0.439
5753;0.438
5754;0.439
5756;0.436
5768;0.442
5785;0.436
5833;0.435
6012;0.438
6141;0.443
6199;0.441
6349;0.438
6441;0.439
6621;0.44
6646;0.4400
6794;0.444
6898;0.441
6960;0.4400
7001;0.442
7082;0.441
7348;0.442
7443;0.445
7474;0.445
7629;0.446
7686;0.45
7695;0.443
7874;0.4460
7889;0.444
7947;0.442
7986;0.45
8143;0.449
8396;0.444
8515;0.447
8805;0.446
8832;0.452
8844;0.451
8855;0.451
8871;0.45
8871;0.449
8893;0.451
8896;0.449
8902;0.45
8906;0.448
8916;0.449
8932;0.45
8940;0.449
8970;0.444
9031;0.4510
9095;0.445
9341;0.45
9396;0.45
9471;0.45
9572;0.454
9902;0.4490
10119;0.451
10119;0.453
10139;0.451
10159;0.45
10167;0.448
10175;0.451
10190;0.449
10278;0.452
10555;0.452
10633;0.453
10701;0.448
10909;0.453
11019;0.454
11294;0.45
11341;0.4520
11724;0.4540
11782;0.453
11810;0.449
11827;0.452
11920;0.455
12038;0.456
12189;0.454
12213;0.4530
12352;0.452
12678;0.453
12758;0.455
13100;0.455
13158;0.456
13252;0.456
13530;0.453
13801;0.455
13821;0.455
13884;0.456
13931;0.457
13968;0.455
13976;0.455
14010;0.457
14013;0.457
14018;0.454
14034;0.454
14056;0.455
14059;0.455
14069;0.454
14076;0.454
14079;0.455
14107;0.456
14174;0.466
14199;0.459
14202;0.458
14266;0.457
14295;0.455
14296;0.459
14311;0.457
14323;0.464
14335;0.465
14341;0.456
14356;0.457
14365;0.457
14366;0.457
14387;0.455
14395;0.462
14395;0.459
14398;0.455
14398;0.456
14400;0.462
14401;0.456
14415;0.457
14420;0.455
14431;0.455
14435;0.455
14441;0.456
14449;0.46
14449;0.457
14451;0.456
14462;0.457
14467;0.453
14467;0.459
14488;0.456
14489;0.457
14490;0.458
14490;0.459
14502;0.457
14536;0.456
14538;0.458
14540;0.46
14553;0.458
14554;0.46
14555;0.456
14584;0.455
14589;0.456
14590;0.456
14593;0.4550
14601;0.456
14608;0.457
14611;0.46
14614;0.453
14615;0.459
14616;0.461
14622;0.453
14623;0.454
14625;0.455
14628;0.46
14630;0.461
14640;0.454
14643;0.455
14644;0.453
14646;0.454
14666;0.452
14669;0.454
14671;0.455
14673;0.453
14681;0.454
14685;0.453
14703;0.452
14708;0.4530
14716;0.46
14718;0.4520
14736;0.46
14743;0.454
14772;0.4530
14828;0.457
14845;0.47
14846;0.457
14864;0.46
14874;0.457
14881;0.455
14884;0.456
14887;0.454
14890;0.456
14902;0.453
14945;0.452
14985;0.458
15297;0.452
15413;0.455
